,author,coin
260,omradk,ripple
261,mt63,ripple
262,steeminator42,ripple
263,arsipel,ripple
264,chobs,ripple
265,sylinda,ripple
266,aliyildiz,ripple
267,gecollllll,ripple
268,baycan,ripple
269,gecollllll,ripple
270,rstracer,ripple
271,aartor,ripple
272,sentry,ripple
273,bitcoin-korea,ripple
274,adnann,ripple
275,best10,ripple
276,mthnty,ripple
277,noxite,ripple
278,omercahit,ripple
279,jeckt84,ripple
280,tradingwhale,ripple
281,jeckt84,ripple
282,videoaddiction,ripple
283,cryptogator,ripple
284,turkeybtc,ripple
285,obiwon,ripple
286,renatokalemi,ripple
287,lifewithcrypto,ripple
288,rolokime,ripple
289,slashing,ripple
290,dhimanyog,ripple
291,juliawilliams,ripple
292,ekrem21,ripple
293,ricjames,ripple
294,muhittinabi,ripple
295,ahmadali,ripple
296,zorto,ripple
297,tux6845,ripple
298,ibrar26,ripple
299,k3b4b,ripple
300,rohanvaya,ripple
301,shivay822,ripple
302,whitecollar,ripple
303,lavinas,ripple
304,dogeofwallstreet,ripple
305,cryptonite22,ripple
306,umairoffi,ripple
307,sam1983,ripple
308,dragon.lady82,ripple
309,zamorano,ripple
310,dogeofwallstreet,ripple
311,agere,ripple
312,sapranak34,ripple
313,cometobesiktas,ripple
314,aefx786,ripple
315,halterci,ripple
316,thuanyoung,ripple
317,renatokalemi,ripple
318,diaehamzawi,ripple
319,kamranmaknojia,ripple
320,onegin,ripple
321,usmangabol,ripple
322,marketstack,ripple
323,cdogdiddy,ripple
324,emamila,ripple
325,stockniper,ripple
326,jeckt84,ripple
327,mktkim4,ripple
328,cryptodailyuk,ripple
329,gulfuren,ripple
330,blayzincrypto,ripple
331,crypto4fun,ripple
332,xmflr95,ripple
333,atimk23,ripple
334,liquidoo,ripple
335,manojm,ripple
336,gurhanzrz,ripple
337,maksym7,ripple
338,cryptolondie,ripple
339,hemantkr10,ripple
340,fazn123,ripple
341,sanina,ripple
342,colon2018,ripple
343,escape,ripple
